metric,disclosure_no,check_type
Benzo(a) Pyrene,A1.1,any
Coal Fly Ash,A1.1,any
Dust,A1.1,any
Flaring Gases Emissions,A1.1,any
Nitrogen Oxide,A1.1,any
Particulate Matter,A1.1,any
Small Particles,A1.1,any
Sulphur Oxide,A1.1,any
Volatile Organic Compounds,A1.1,any
Ammonia,A1.2,optional
Ammoniacal Nitrogen,A1.2,optional
Carbon Dioxides Emission Per Employee,A1.2,optional
Carbon Dioxides Emission Per Production,A1.2,optional
Carbon Dioxides Emission Per Revenue,A1.2,optional
Carbon Dioxides,A1.2,optional
Carbon Monoxides,A1.2,optional
GHG Scope 1 Emissions Per Employee,A1.2,optional
GHG Scope 1 Emissions Per Production,A1.2,optional
GHG Scope 1 Emissions Per Revenue,A1.2,optional
GHG Scope 1 Emissions,A1.2,compulsory
GHG Scope 2 Emissions Per Employee,A1.2,optional
GHG Scope 2 Emissions Per Production,A1.2,optional
GHG Scope 2 Emissions Per Revenue,A1.2,optional
GHG Scope 2 Emissions,A1.2,compulsory
GHG Scope 3 Emissions Per Employee,A1.2,optional
GHG Scope 3 Emissions Per Production,A1.2,optional
GHG Scope 3 Emissions Per Revenue,A1.2,optional
GHG Scope 3 Emissions,A1.2,optional
Methane Emission Per Employee,A1.2,optional
Methane Emission Per Production,A1.2,optional
Methane Emission Per Revenue,A1.2,optional
Methane,A1.2,optional
Methanol,A1.2,optional
Ozone,A1.2,optional
Perfluorinated Carbons,A1.2,optional
Total GHG Emissions Per Employee,A1.2,optional
Total GHG Emissions Per Production,A1.2,optional
Total GHG Emissions Per Revenue,A1.2,optional
Total GHG Emissions,A1.2,optional
Chemical Oxygen Demand,A1.3,optional
Chemical Wastes,A1.3,optional
Cinders,A1.3,optional
Clinical Wastes,A1.3,optional
Ethylene,A1.3,optional
Hazardous Wastes Per Employee,A1.3,optional
Hazardous Wastes Per Production,A1.3,optional
Hazardous Wastes Per Revenue,A1.3,optional
Hazardous Wastes,A1.3,compulsory
Hydrofluoric Acid,A1.3,optional
Lead,A1.3,optional
Oily Sludges,A1.3,optional
Oily Wastes,A1.3,optional
Other Hazardous Wastes,A1.3,optional
Cooking Oil,A1.4,optional
Domestic Wastes,A1.4,optional
Hazardous and Non-hazardous Wastes,A1.4,optional
Muds,A1.4,optional
Non-hazardous Wastes Per Employee,A1.4,optional
Non-hazardous Wastes Per Production,A1.4,optional
Non-hazardous Wastes Per Revenue,A1.4,optional
Non-hazardous Wastes,A1.4,compulsory
Other Non-hazardous Wastes,A1.4,optional
Rocks,A1.4,optional
Sewage Discharged,A1.4,optional
Solid Wastes,A1.4,optional
Acetylene,A2.1,optional
Acrylic,A2.1,optional
Alcohol Based Liquid Fuel,A2.1,optional
Anthracite,A2.1,optional
Argon Gas,A2.1,optional
Biodiesel,A2.1,optional
Biofuel,A2.1,optional
Biogas,A2.1,optional
Bitumite,A2.1,optional
Blast Furnace Gas,A2.1,optional
Charcoal,A2.1,optional
Chilled Water,A2.1,optional
Cleaned Coal,A2.1,optional
Coal Consumption Per Employee,A2.1,optional
Coal Consumption Per Production,A2.1,optional
Coal Consumption Per Revenue,A2.1,optional
Coal Consumption,A2.1,optional
Coal Gas,A2.1,optional
Coke ,A2.1,optional
Cooling,A2.1,optional
Crude Oil Consumption Per Employee,A2.1,optional
Crude Oil Consumption Per Production,A2.1,optional
Crude Oil Consumption Per Revenue,A2.1,optional
Crude Oil Total,A2.1,optional
Diesel Consumption Per Employee,A2.1,optional
Diesel Consumption Per Production,A2.1,optional
Diesel Consumption Per Revenue,A2.1,optional
Diesel Total,A2.1,optional
Electricity Consumption Per Employee,A2.1,optional
Electricity Consumption Per Production,A2.1,optional
Electricity Consumption Per Revenue,A2.1,optional
Electricity Consumption,A2.1,any
Electricity Generation,A2.1,optional
Electricity Saving,A2.1,optional
Energy Consumption Per Employee,A2.1,optional
